ibge;anomes;cadunico_tot_fam;cadunico_tot_pes;cadunico_tot_fam_rpc_ate_meio_sm;cadunico_tot_pes_rpc_ate_meio_sm;cadunico_tot_fam_pob;cadunico_tot_pes_pob;cadunico_tot_fam_ext_pob;cadunico_tot_pes_ext_pob;cadunico_tot_fam_pob_e_ext_pob;cadunico_tot_pes_pob_e_ext_pob
250590;201801;811;2436;729;2306;22;108;597;1829;619;1937
250600;201801;7360;20594;6714;19618;438;1164;5504;16205;5942;17369
250610;201801;2997;8613;2758;8261;159;557;2248;6663;2407;7220
250620;201801;685;1955;601;1789;33;129;453;1315;486;1444
250625;201801;2527;7565;2346;7288;51;222;2031;6180;2082;6402
250630;201801;9497;28085;8254;25713;1277;4136;4900;14968;6177;19104
250640;201801;3395;10078;3168;9765;120;536;2655;7980;2775;8516
250650;201801;863;2244;732;2069;37;126;587;1597;624;1723
250660;201801;1681;4318;1510;4095;36;99;1362;3671;1398;3770
250670;201801;2304;7465;2157;7216;58;305;1837;5992;1895;6297
250680;201801;5061;13066;4708;12661;146;502;4267;11338;4413;11840
250690;201801;6407;15538;5862;14852;190;467;5286;13303;5476;13770
250700;201801;4348;12588;3900;11895;405;1267;2847;8618;3252;9885
250710;201801;4418;13160;3849;12393;341;1223;2753;8898;3094;10121
250720;201801;2702;7408;2474;7054;48;216;2216;6245;2264;6461
250730;201801;3764;10543;3382;10025;188;672;2783;8039;2971;8711
250740;201801;1898;5121;1594;4680;142;450;1229;3530;1371;3980
250750;201801;96172;259691;85912;244794;9235;28505;57930;162185;67165;190690
250760;201801;2318;6234;2030;5785;130;392;1587;4428;1717;4820
250770;201801;3786;12237;3489;11844;298;1193;2542;8540;2840;9733
250780;201801;1705;4845;1451;4357;126;426;1003;2941;1129;3367
250790;201801;2319;7245;2114;6919;327;1117;1312;4334;1639;5451
250800;201801;2474;6800;2149;6272;90;224;1755;5113;1845;5337
250810;201801;1244;3518;1049;3231;37;145;852;2600;889;2745
250820;201801;1789;5622;1732;5552;77;319;1545;4902;1622;5221
250830;201801;5274;16512;4769;15484;365;1427;3357;10646;3722;12073
250840;201801;863;2751;734;2483;20;91;508;1729;528;1820
250850;201801;1909;5731;1710;5407;49;267;1376;4220;1425;4487
250855;201801;1044;3058;901;2808;34;154;693;2100;727;2254
